Console,Dematerialized,Title,Progression
1,true,Bioshock Infinite,2
1,true,Devil May Cry,2
1,false,Fallout New Vegas,0
4,false,Batman Arkam Origins,2
4,false,Rayman Legends,2
1,false,grand theft auto V,2
1640,false,Battlefield 4,2
1640,false,Kill Zone Shadow Fall,2
1640,false,FIFA 2014,2
1640,false,Watch Dogs,2
13,false,super street fighter turbo,0
13,false,f1 pole position,0
13,false,pilotwings,0
13,false,street fighter II,0
12,false,grand theft auto : vice city stories,1
12,false,pokemon version blanche,1
11,false,sonic rush,2
10,false,fifa 2001,0
10,false,moto racer world tour,2
10,false,eagle one,2
10,false,final fantasy VIII,2
10,false,final fantasy VII,2
9,false,naruto clash of ninja,0
9,false,bleach,0
9,false,wii party,0
9,false,cars,0
9,false,monster 4x4 world circuit,0
9,false,bomberman land ,1
9,false,dbz budokai tenkaichi 3,0
9,false,super smash bross brawl,1
9,false,mario party 8,1
9,false,wii play,1
9,false,super mario galaxy 2,2
9,false,mario kart wii,1
9,false,mario strikers charged football,2
9,false,fifa 08,0
9,false,resident evil 4,0
9,false,les 4 fantastiques et le surfer d argent,0
9,false,need for speed carbon,1
9,false,metal slug anthology,2
9,false,metroid prime corruption,2
9,false,one piece,0
9,false,bully scholarship,0
9,false,wii sports,1
9,false,super mario galaxy,2
9,false,call of duty 3,2
8,false,the legend of zelda a link to the past,2
8,false,donkey kong country,2
8,false,metroid fusion,2
8,false,l aigle de guerre,2
8,false,super mario world 2,2
8,false,golden sun l age perdu,1
7,false,the legend of zela the wind waker,2
7,false,resident evil,0
7,false,007 nightfire,2
7,false,tony hawk s undeground,0
7,false,tony hawk s american wasterland,2
7,false,super smash bros melee,2
7,false,jedi knight II,0
7,false,phantasy star online episode I &II,1
7,false,sonic heroes,2
7,false,sonic mega collection,1
7,false,final fantasy crystal chronicles,1
7,false,need for speed underground 2,1
7,false,star wars rogue leader,2
7,false,prince of persia the sands of time,0
7,false,driven,0
7,false,summonet la deesse reincarn��e,0
7,false,spider man,0
7,false,beyond good & evil,0
6,false,ace combat : distant thunder,2
6,false,medal of honor en premier ligne,2
6,false,nhl 2004,1
6,false,conflict desert storm,2
6,false,conflict desert storm II,2
6,false,grand turismo 3,1
6,false,socom: U.S navy seals,1
6,false,le seigneur des anneaux: les deux tours,2
6,false,top gun combat zone,2
6,false,grant theft auto : san adreas,2
6,false,tomb raider l ange des tenebres,2
6,false,metal gear solid 2,2
6,false,PES 2,1
6,false,final fantasy X,2
6,false,aggressive inline,2
6,false,"warhammer 40,000: fire warrior",1
6,false,grant theft auto : vice city,2
6,false,timesplitters 2,2
5,false,ninja gaiden sigma plus,2
5,false,gravity rush,2
5,false,rayman origins,2
5,false,assasin s creed II liberation,2
5,false,new little king s story,2
5,false,metal gear solid hd collection,2
5,false,Persona 4 golden,1
5,false,virtues last reward,2
5,false,uncharted golden abyss,2
4,false,new super mario bros wii u,2
4,false,zombi u,2
4,false,call of duty black op II,2
4,false,nintendo land,2
3,false,residant evil revelation,2
3,false,super mario 3D land,2
3,false,zelda ocarina of time 3D,2
3,false,fire emblem awakening,2
3,false,luigi s mansion 2,2
3,false,donkey kong country returns 3D,2
2,false,D two worlds,0
2,false,D tomb raider underworld,0
2,false,D N3 ninety-nine nights,0
2,false,D left 4 dead,2
2,false,D The orange Box,1
2,false,D lost planet,1
2,false,D crossboard 7,0
2,false,D def jam : icon,0
2,false,D pes 6,2
2,false,D masss effect,0
2,false,D soulcalibur IV,0
2,false,D crackdown,0
2,false,D de blob,0
2,false,D Halo 3,2
2,false,D Halo reach,0
2,false,pes 2010,1
2,false,assasin s creed III,2
2,false,splinter cell conviction,2
2,false,gears of war 3,2
2,false,gears of war 2,0
2,false,gears of war,0
1,false,heavy rain,2
1,false,little big planet karting,2
1,false,tombraider,2
1,false,farcry 3,2
1,false,Assasin s creed reveleations,0
1,false,god of war collection volume 2,0
1,false,uncharted 3,2
1,false,fifa 12,2
1,false,nhl 2k9,2
1,false,playstation all-stars battle royale,2
1,false,skyrim,1
1,false,Final fantasy XIII,1
1,false,assasin s creed II,1
1,false,assasin s creed,2
1,false,god of war III,2
1,false,Batman Arkam city,2
1,false,Batman : Arkham Asylum,2
1,false,uncharted 2 : Among thieves,2
1,false,red dead redemption,2
1,false,grand theft auto IV,2
1,false,grand theft auto Episode From liberty city,2
1,false,max payne 3,2
1,false,assasin s creed brotherhoood,2
1,false,mirror s edge,2
1,false,dishonored,2
1,false,need for speed the run limited edition,2
1,false,call of duty Modern warfare,2
1,false,call of duty MW3,2
1,false,call of duty black ops,2
1,false,call of duty Modern warfare 2,2
1,false,battlefield3 Limited edition,2
1,false,uncharted drake s fortune,2
