Console,Dematerialized,Title,Progression
PS3,true,Bioshock Infinite,2
PS3,true,Devil May Cry,2
PS3,false,Fallout New Vegas,0
WII U,false,Batman Arkam Origins,2
WII U,false,Rayman Legends,2
PS3,false,grand theft auto V,2
PS4,false,Battlefield 4,2
PS4,false,Kill Zone Shadow Fall,2
PS4,false,FIFA 2014,2
PS4,false,Watch Dogs,2
SUPER NES,false,super street fighter turbo,0
SUPER NES,false,f1 pole position,0
SUPER NES,false,pilotwings,0
SUPER NES,false,street fighter II,0
PSP,false,grand theft auto : vice city stories,1
PSP,false,pokemon version blanche,1
DS,false,sonic rush,2
PS ONE,false,fifa 2001,0
PS ONE,false,moto racer world tour,2
PS ONE,false,eagle one,2
PS ONE,false,final fantasy VIII,2
PS ONE,false,final fantasy VII,2
WII,false,naruto clash of ninja,0
WII,false,bleach,0
WII,false,wii party,0
WII,false,cars,0
WII,false,monster 4x4 world circuit,0
WII,false,bomberman land ,1
WII,false,dbz budokai tenkaichi 3,0
WII,false,super smash bross brawl,1
WII,false,mario party 8,1
WII,false,wii play,1
WII,false,super mario galaxy 2,2
WII,false,mario kart wii,1
WII,false,mario strikers charged football,2
WII,false,fifa 08,0
WII,false,resident evil 4,0
WII,false,les 4 fantastiques et le surfer d argent,0
WII,false,need for speed carbon,1
WII,false,metal slug anthology,2
WII,false,metroid prime corruption,2
WII,false,one piece,0
WII,false,bully scholarship,0
WII,false,wii sports,1
WII,false,super mario galaxy,2
WII,false,call of duty 3,2
GBA,false,the legend of zelda a link to the past,2
GBA,false,donkey kong country,2
GBA,false,metroid fusion,2
GBA,false,l aigle de guerre,2
GBA,false,super mario world 2,2
GBA,false,golden sun l age perdu,1
GAMECUBE,false,the legend of zela the wind waker,2
GAMECUBE,false,resident evil,0
GAMECUBE,false,007 nightfire,2
GAMECUBE,false,tony hawk s undeground,0
GAMECUBE,false,tony hawk s american wasterland,2
GAMECUBE,false,super smash bros melee,2
GAMECUBE,false,jedi knight II,0
GAMECUBE,false,phantasy star online episode I &II,1
GAMECUBE,false,sonic heroes,2
GAMECUBE,false,sonic mega collection,1
GAMECUBE,false,final fantasy crystal chronicles,1
GAMECUBE,false,need for speed underground 2,1
GAMECUBE,false,star wars rogue leader,2
GAMECUBE,false,prince of persia the sands of time,0
GAMECUBE,false,driven,0
GAMECUBE,false,summonet la deesse reincarn��e,0
GAMECUBE,false,spider man,0
GAMECUBE,false,beyond good & evil,0
PS2,false,ace combat : distant thunder,2
PS2,false,medal of honor en premier ligne,2
PS2,false,nhl 2004,1
PS2,false,conflict desert storm,2
PS2,false,conflict desert storm II,2
PS2,false,grand turismo 3,1
PS2,false,socom: U.S navy seals,1
PS2,false,le seigneur des anneaux: les deux tours,2
PS2,false,top gun combat zone,2
PS2,false,grant theft auto : san adreas,2
PS2,false,tomb raider l ange des tenebres,2
PS2,false,metal gear solid 2,2
PS2,false,PES 2,1
PS2,false,final fantasy X,2
PS2,false,aggressive inline,2
PS2,false,"warhammer 40,000: fire warrior",1
PS2,false,grant theft auto : vice city,2
PS2,false,timesplitters 2,2
PS VITA,false,ninja gaiden sigma plus,2
PS VITA,false,gravity rush,2
PS VITA,false,rayman origins,2
PS VITA,false,assasin s creed II liberation,2
PS VITA,false,new little king s story,2
PS VITA,false,metal gear solid hd collection,2
PS VITA,false,Persona 4 golden,1
PS VITA,false,virtues last reward,2
PS VITA,false,uncharted golden abyss,2
WII U,false,new super mario bros wii u,2
WII U,false,zombi u,2
WII U,false,call of duty black op II,2
WII U,false,nintendo land,2
3DS,false,residant evil revelation,2
3DS,false,super mario 3D land,2
3DS,false,zelda ocarina of time 3D,2
3DS,false,fire emblem awakening,2
3DS,false,luigi s mansion 2,2
